Format,Metric,Year,Number of Records,Value (Actual)
Download Single,Units,1998-01-01,1,29.266338245
Download Single,Units,1999-01-01,1,29.266338245
Download Single,Units,2000-01-01,1,29.266338245
Download Single,Units,2001-01-01,1,29.266338245
Download Single,Units,2002-01-01,1,29.266338245
Download Single,Units,2003-01-01,1,29.266338245
Download Single,Units,2004-01-01,1,139.4
Download Single,Units,2005-01-01,1,366.9
Download Single,Units,2006-01-01,1,586.4
Download Single,Units,2007-01-01,1,819.4
Download Single,Units,2008-01-01,1,29.266338245
Download Single,Units,2009-01-01,1,29.266338245
Download Single,Units,2010-01-01,1,29.266338245
Download Single,Units,2011-01-01,1,29.266338245
Download Single,Units,2012-01-01,1,29.266338245
Download Single,Units,2013-01-01,1,29.266338245
Download Single,Units,2014-01-01,1,29.266338245
Download Single,Units,2015-01-01,1,986.2550359
Download Single,Units,2016-01-01,1,743.0034138
Download Single,Units,2017-01-01,1,553.5161518
Download Single,Units,2018-01-01,1,399.7738523
Download Single,Units,2019-01-01,1,335.3391935
Download Album,Units,1973-01-01,1,29.266338245
Download Album,Units,1974-01-01,1,29.266338245
Download Album,Units,1975-01-01,1,29.266338245
Download Album,Units,1976-01-01,1,29.266338245
Download Album,Units,1977-01-01,1,29.266338245
Download Album,Units,1978-01-01,1,29.266338245
Download Album,Units,1979-01-01,1,29.266338245
Download Album,Units,1980-01-01,1,29.266338245
Download Album,Units,1981-01-01,1,29.266338245
Download Album,Units,1982-01-01,1,29.266338245
Download Album,Units,1983-01-01,1,29.266338245
Download Album,Units,1984-01-01,1,29.266338245
Download Album,Units,1985-01-01,1,29.266338245
Download Album,Units,1986-01-01,1,29.266338245
Download Album,Units,1987-01-01,1,29.266338245
Download Album,Units,1988-01-01,1,29.266338245
Download Album,Units,1989-01-01,1,29.266338245
Download Album,Units,1990-01-01,1,29.266338245
Download Album,Units,1991-01-01,1,29.266338245
Download Album,Units,1992-01-01,1,29.266338245
Download Album,Units,1993-01-01,1,29.266338245
Download Album,Units,1994-01-01,1,29.266338245
Download Album,Units,1995-01-01,1,29.266338245
Download Album,Units,1996-01-01,1,29.266338245
Download Album,Units,1997-01-01,1,29.266338245
Download Album,Units,1998-01-01,1,29.266338245
Download Album,Units,1999-01-01,1,29.266338245
Download Album,Units,2000-01-01,1,29.266338245
Download Album,Units,2001-01-01,1,29.266338245
Download Album,Units,2002-01-01,1,29.266338245
Download Album,Units,2003-01-01,1,29.266338245
Download Album,Units,2004-01-01,1,4.6
Download Album,Units,2005-01-01,1,13.6
Download Album,Units,2006-01-01,1,27.6
Download Album,Units,2007-01-01,1,49.8
Download Album,Units,2008-01-01,1,63.6
Download Album,Units,2009-01-01,1,74.5
Download Album,Units,2010-01-01,1,85.8
Download Album,Units,2011-01-01,1,103.9
Download Album,Units,2012-01-01,1,116.7336318
Download Album,Units,2013-01-01,1,117.979213
Download Album,Units,2014-01-01,1,114.2304708
Download Album,Units,2015-01-01,1,106.7838841
